source_path	file name	resolution	dwi count(b0/dwi)	max b-value	DWI contrast	neighboring DWI correlation	neighboring DWI correlation(masked)
data-others/disease/oasis3	sub-OAS30433_ses-d1954_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.988567	0.893558	0.729560
data-others/disease/oasis3	sub-OAS30434_ses-d0054_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.221409	0.988753	0.916225
data-others/disease/oasis3	sub-OAS30434_ses-d0054_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.838256	0.859139	0.495377
data-others/disease/oasis3	sub-OAS30438_ses-d0064_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.980994	0.934138	0.773831
data-others/disease/oasis3	sub-OAS30438_ses-d0897_dwi.sz	2 2 2 	4/44	1400.000000	0.962619	0.865277	0.672519
data-others/disease/oasis3	sub-OAS30438_ses-d2358_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.273405	0.991113	0.922303
data-others/disease/oasis3	sub-OAS30438_ses-d2358_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.931525	0.907396	0.596838
data-others/disease/oasis3	sub-OAS30438_ses-d3254_dwi.sz	2 2 2 	3/66	2000.000000	1.033901	0.951731	0.779858
data-others/disease/oasis3	sub-OAS30441_ses-d0053_dwi.sz	2 2 2 	4/44	1400.000000	0.933894	0.868476	0.675704
data-others/disease/oasis3	sub-OAS30443_ses-d1480_dwi.sz	2 2 2 	4/44	1400.000000	0.927827	0.843183	0.672788
data-others/disease/oasis3	sub-OAS30443_ses-d2432_dwi.sz	2 2 2 	4/44	1400.000000	0.921921	0.831339	0.633860
data-others/disease/oasis3	sub-OAS30445_ses-d0133_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.232216	0.990878	0.929184
data-others/disease/oasis3	sub-OAS30445_ses-d0133_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.862056	0.854410	0.544067
data-others/disease/oasis3	sub-OAS30449_ses-d0000_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.948262	0.882619	0.771271
